sentence,labelled,vectors
"In 1960, Chad obtained independence under the leadership of François Tombalbaye","In 1960, Chad obtained independence under the leadership of François Tombalbaye","In 1960, Chad obtained independence under the leadership of François Tombalbaye"
"Since 2003 the Darfur crisis in Sudan has spilt over the border and destabilised the nation, with hundreds of thousands of Sudanese refugees living in and around camps in eastern Chad","Since 2003 the Darfur crisis in Sudan has spilt over the border and destabilised the nation, with hundreds of thousands of Sudanese refugees living in and around camps in eastern Chad","Since 2003 the Darfur crisis in Sudan has spilt over the border and destabilised the nation, with hundreds of thousands of Sudanese refugees living in and around camps in eastern Chad"
Chad remains plagued by political violence and recurrent attempted coups d'état,Chad remains plagued by political violence and recurrent attempted coups d'état,Chad remains plagued by political violence and recurrent attempted coups d'état
Chad is one of the poorest and most corrupt countries in the world; most inhabitants live in poverty as subsistence herders and farmers,Chad is one of the poorest and most corrupt countries in the world; most inhabitants live in poverty as subsistence herders and farmers,Chad is one of the poorest and most corrupt countries in the world; most inhabitants live in poverty as subsistence herders and farmers
"Sri Lanka , officially the Democratic Socialist Republic of Sri Lanka, is an island country in South Asia, located southeast of India and northeast of the Maldives","Sri Lanka , officially the Democratic Socialist Republic of Sri Lanka, is an island country in South Asia, located southeast of India and northeast of the Maldives","Sri Lanka , officially the Democratic Socialist Republic of Sri Lanka, is an island country in South Asia, located southeast of India and northeast of the Maldives"
"Sri Lanka's documented history spans 3,000 years, with evidence of pre-historic human settlements dating back to at least 125,000 years","Sri Lanka's documented history spans 3,000 years, with evidence of pre-historic human settlements dating back to at least 125,000 years","Sri Lanka's documented history spans 3,000 years, with evidence of pre-historic human settlements dating back to at least 125,000 years"
"It has a rich cultural heritage and the first known Buddhist writings of Sri Lanka, the P?li Canon, date back to the Fourth Buddhist council in 29 BC","It has a rich cultural heritage and the first known Buddhist writings of Sri Lanka, the P?li Canon, date back to the Fourth Buddhist council in 29 BC","It has a rich cultural heritage and the first known Buddhist writings of Sri Lanka, the P?li Canon, date back to the Fourth Buddhist council in 29 BC"
Sri Lanka was known from the beginning of British colonial rule until 1972 as Ceylon ,Sri Lanka was known from the beginning of British colonial rule until 1972 as Ceylon ,Sri Lanka was known from the beginning of British colonial rule until 1972 as Ceylon 
Its recent history has been marred by a thirty-year civil war which decisively ended when the Sri Lankan military defeated the Liberation Tigers of Tamil Eelam in 2009,Its recent history has been marred by a thirty-year civil war which decisively ended when the Sri Lankan military defeated the Liberation Tigers of Tamil Eelam in 2009,Its recent history has been marred by a thirty-year civil war which decisively ended when the Sri Lankan military defeated the Liberation Tigers of Tamil Eelam in 2009
"Along with the Maldives, Sri Lanka is one of only two South Asian countries rated ""high"" on the Human Development Index , with its HDI rating and per capita income the highest among South Asian nations","Along with the Maldives, Sri Lanka is one of only two South Asian countries rated ""high"" on the Human Development Index , with its HDI rating and per capita income the highest among South Asian nations","Along with the Maldives, Sri Lanka is one of only two South Asian countries rated ""high"" on the Human Development Index , with its HDI rating and per capita income the highest among South Asian nations"
"China, officially the People's Republic of China , is a unitary sovereign state in East Asia and the world's most populous country, with a population of around 1","China, officially the People's Republic of China , is a unitary sovereign state in East Asia and the world's most populous country, with a population of around 1","China, officially the People's Republic of China , is a unitary sovereign state in East Asia and the world's most populous country, with a population of around 1"
"Governed by the Communist Party of China, it exercises jurisdiction over 22 provinces, five autonomous regions, four direct-controlled municipalities and the Special Administrative Regions Hong Kong and Macau, also claiming sovereignty over Taiwan","Governed by the Communist Party of China, it exercises jurisdiction over 22 provinces, five autonomous regions, four direct-controlled municipalities and the Special Administrative Regions Hong Kong and Macau, also claiming sovereignty over Taiwan","Governed by the Communist Party of China, it exercises jurisdiction over 22 provinces, five autonomous regions, four direct-controlled municipalities and the Special Administrative Regions Hong Kong and Macau, also claiming sovereignty over Taiwan"
China emerged as one of the world's earliest civilizations in the fertile basin of the Yellow River in the North China Plain,China emerged as one of the world's earliest civilizations in the fertile basin of the Yellow River in the North China Plain,China emerged as one of the world's earliest civilizations in the fertile basin of the Yellow River in the North China Plain
"For millennia, China's political system was based on hereditary monarchies, or dynasties, beginning with the semi-legendary Xia dynasty","For millennia, China's political system was based on hereditary monarchies, or dynasties, beginning with the semi-legendary Xia dynasty","For millennia, China's political system was based on hereditary monarchies, or dynasties, beginning with the semi-legendary Xia dynasty"
"Since then, China has expanded, fractured, and re-unified numerous times","Since then, China has expanded, fractured, and re-unified numerous times","Since then, China has expanded, fractured, and re-unified numerous times"
"In 1912, the Republic of China replaced the last dynasty and ruled the Chinese mainland until 1949, when it was defeated by the communist People's Liberation Army in the Chinese Civil War","In 1912, the Republic of China replaced the last dynasty and ruled the Chinese mainland until 1949, when it was defeated by the communist People's Liberation Army in the Chinese Civil War","In 1912, the Republic of China replaced the last dynasty and ruled the Chinese mainland until 1949, when it was defeated by the communist People's Liberation Army in the Chinese Civil War"
"The Communist Party established the People's Republic of China in Beijing on 21 September 1949, while the ROC government retreated to Taiwan with its present de facto capital in Taipei","The Communist Party established the People's Republic of China in Beijing on 21 September 1949, while the ROC government retreated to Taiwan with its present de facto capital in Taipei","The Communist Party established the People's Republic of China in Beijing on 21 September 1949, while the ROC government retreated to Taiwan with its present de facto capital in Taipei"
"Both the ROC and PRC continue to claim to be the legitimate government of all China, though the latter has more recognition in the world and controls more territory","Both the ROC and PRC continue to claim to be the legitimate government of all China, though the latter has more recognition in the world and controls more territory","Both the ROC and PRC continue to claim to be the legitimate government of all China, though the latter has more recognition in the world and controls more territory"
"Since the introduction of economic reforms in 1978, China's economy has been one of the world's fastest-growing","Since the introduction of economic reforms in 1978, China's economy has been one of the world's fastest-growing","Since the introduction of economic reforms in 1978, China's economy has been one of the world's fastest-growing"
China is also the world's largest exporter and second-largest importer of goods,China is also the world's largest exporter and second-largest importer of goods,China is also the world's largest exporter and second-largest importer of goods
China is a recognized nuclear weapons state and has the world's largest standing army and second-largest defense budget,China is a recognized nuclear weapons state and has the world's largest standing army and second-largest defense budget,China is a recognized nuclear weapons state and has the world's largest standing army and second-largest defense budget
"China is also a member of numerous formal and informal multilateral organizations, including the WTO, APEC, BRICS, the Shanghai Cooperation Organization , the BCIM and the G20","China is also a member of numerous formal and informal multilateral organizations, including the WTO, APEC, BRICS, the Shanghai Cooperation Organization , the BCIM and the G20","China is also a member of numerous formal and informal multilateral organizations, including the WTO, APEC, BRICS, the Shanghai Cooperation Organization , the BCIM and the G20"
"China is a great power and a major regional power within Asia, and has been characterized as a potential superpower","China is a great power and a major regional power within Asia, and has been characterized as a potential superpower","China is a great power and a major regional power within Asia, and has been characterized as a potential superpower"
"Chile , is a South American country occupying a long, narrow strip of land between the Andes to the east and the Pacific Ocean to the west","Chile , is a South American country occupying a long, narrow strip of land between the Andes to the east and the Pacific Ocean to the west","Chile , is a South American country occupying a long, narrow strip of land between the Andes to the east and the Pacific Ocean to the west"
"Chilean territory includes the Pacific islands of Juan Fernández, Salas y Gómez, Desventuradas, and Easter Island in Oceania","Chilean territory includes the Pacific islands of Juan Fernández, Salas y Gómez, Desventuradas, and Easter Island in Oceania","Chilean territory includes the Pacific islands of Juan Fernández, Salas y Gómez, Desventuradas, and Easter Island in Oceania"
"Chile also claims about 1,250,000 square kilometres of Antarctica, although all claims are suspended under the Antarctic Treaty","Chile also claims about 1,250,000 square kilometres of Antarctica, although all claims are suspended under the Antarctic Treaty","Chile also claims about 1,250,000 square kilometres of Antarctica, although all claims are suspended under the Antarctic Treaty"
"The arid Atacama Desert in northern Chile contains great mineral wealth, principally copper","The arid Atacama Desert in northern Chile contains great mineral wealth, principally copper","The arid Atacama Desert in northern Chile contains great mineral wealth, principally copper"
"The relatively small central area dominates in terms of population and agricultural resources, and is the cultural and political center from which Chile expanded in the late 19th century when it incorporated its northern and southern regions","The relatively small central area dominates in terms of population and agricultural resources, and is the cultural and political center from which Chile expanded in the late 19th century when it incorporated its northern and southern regions","The relatively small central area dominates in terms of population and agricultural resources, and is the cultural and political center from which Chile expanded in the late 19th century when it incorporated its northern and southern regions"
"Southern Chile is rich in forests and grazing lands, and features a string of volcanoes and lakes","Southern Chile is rich in forests and grazing lands, and features a string of volcanoes and lakes","Southern Chile is rich in forests and grazing lands, and features a string of volcanoes and lakes"
"Spain conquered and colonized Chile in the mid-16th century, replacing Inca rule in northern and central Chile, but failing to conquer the independent Mapuche who inhabited south-central Chile","Spain conquered and colonized Chile in the mid-16th century, replacing Inca rule in northern and central Chile, but failing to conquer the independent Mapuche who inhabited south-central Chile","Spain conquered and colonized Chile in the mid-16th century, replacing Inca rule in northern and central Chile, but failing to conquer the independent Mapuche who inhabited south-central Chile"
"After declaring its independence from Spain in 1818, Chile emerged in the 1830s as a relatively stable authoritarian republic","After declaring its independence from Spain in 1818, Chile emerged in the 1830s as a relatively stable authoritarian republic","After declaring its independence from Spain in 1818, Chile emerged in the 1830s as a relatively stable authoritarian republic"
"In the 19th century, Chile saw significant economic and territorial growth, ending Mapuche resistance in the 1880s and gaining its current northern territory in the War of the Pacific after defeating Peru and Bolivia","In the 19th century, Chile saw significant economic and territorial growth, ending Mapuche resistance in the 1880s and gaining its current northern territory in the War of the Pacific after defeating Peru and Bolivia","In the 19th century, Chile saw significant economic and territorial growth, ending Mapuche resistance in the 1880s and gaining its current northern territory in the War of the Pacific after defeating Peru and Bolivia"
"This development culminated with the 1973 Chilean coup d'état that overthrew Salvador Allende's democratically elected left-wing government and instituted a 16-year-long right-wing military dictatorship that left more than 3,000 people dead or missing","This development culminated with the 1973 Chilean coup d'état that overthrew Salvador Allende's democratically elected left-wing government and instituted a 16-year-long right-wing military dictatorship that left more than 3,000 people dead or missing","This development culminated with the 1973 Chilean coup d'état that overthrew Salvador Allende's democratically elected left-wing government and instituted a 16-year-long right-wing military dictatorship that left more than 3,000 people dead or missing"
"Chile is today one of South America's most stable and prosperous nations, with a high-income economy and high living standards","Chile is today one of South America's most stable and prosperous nations, with a high-income economy and high living standards","Chile is today one of South America's most stable and prosperous nations, with a high-income economy and high living standards"
"Chile is the only South American member of the Organization for Economic Co-operation and Development , joining in 2010","Chile is the only South American member of the Organization for Economic Co-operation and Development , joining in 2010","Chile is the only South American member of the Organization for Economic Co-operation and Development , joining in 2010"
"Chile is a founding member of the United Nations, the Union of South American Nations ","Chile is a founding member of the United Nations, the Union of South American Nations ","Chile is a founding member of the United Nations, the Union of South American Nations "
The Cayman Islands is an autonomous British Overseas Territory in the western Caribbean Sea,The Cayman Islands is an autonomous British Overseas Territory in the western Caribbean Sea,The Cayman Islands is an autonomous British Overseas Territory in the western Caribbean Sea
The Cayman Islands is considered to be part of the geographic Western Caribbean Zone as well as the Greater Antilles,The Cayman Islands is considered to be part of the geographic Western Caribbean Zone as well as the Greater Antilles,The Cayman Islands is considered to be part of the geographic Western Caribbean Zone as well as the Greater Antilles
"The Territory of Cocos Islands is an Australian external territory in the Indian Ocean, comprising a small archipelago approximately midway between Australia and Sri Lanka","The Territory of Cocos Islands is an Australian external territory in the Indian Ocean, comprising a small archipelago approximately midway between Australia and Sri Lanka","The Territory of Cocos Islands is an Australian external territory in the Indian Ocean, comprising a small archipelago approximately midway between Australia and Sri Lanka"
"Cameroon , is a country in Central Africa","Cameroon , is a country in Central Africa","Cameroon , is a country in Central Africa"
"Cameroon's coastline lies on the Bight of Biafra, part of the Gulf of Guinea and the Atlantic Ocean","Cameroon's coastline lies on the Bight of Biafra, part of the Gulf of Guinea and the Atlantic Ocean","Cameroon's coastline lies on the Bight of Biafra, part of the Gulf of Guinea and the Atlantic Ocean"
French and English are the official languages of Cameroon,French and English are the official languages of Cameroon,French and English are the official languages of Cameroon
"The highest point at almost 4,100 metres is Mount Cameroon in the Southwest Region of the country, and the largest cities in population-terms are Douala on the Wouri river, its economic capital and main seaport, Yaoundé, its political capital, and Garoua","The highest point at almost 4,100 metres is Mount Cameroon in the Southwest Region of the country, and the largest cities in population-terms are Douala on the Wouri river, its economic capital and main seaport, Yaoundé, its political capital, and Garoua","The highest point at almost 4,100 metres is Mount Cameroon in the Southwest Region of the country, and the largest cities in population-terms are Douala on the Wouri river, its economic capital and main seaport, Yaoundé, its political capital, and Garoua"
"Portuguese explorers reached the coast in the 15th century and named the area Rio dos Camarões , which became Cameroon in English","Portuguese explorers reached the coast in the 15th century and named the area Rio dos Camarões , which became Cameroon in English","Portuguese explorers reached the coast in the 15th century and named the area Rio dos Camarões , which became Cameroon in English"
Cameroon became a German colony in 1884 known as Kamerun,Cameroon became a German colony in 1884 known as Kamerun,Cameroon became a German colony in 1884 known as Kamerun
"The Union des Populations du Cameroun political party advocated independence, but was outlawed by France in the 1950s, leading to the Cameroonian Independence War fought between French and UPC militant forces until early 1971","The Union des Populations du Cameroun political party advocated independence, but was outlawed by France in the 1950s, leading to the Cameroonian Independence War fought between French and UPC militant forces until early 1971","The Union des Populations du Cameroun political party advocated independence, but was outlawed by France in the 1950s, leading to the Cameroonian Independence War fought between French and UPC militant forces until early 1971"
"In 1960, the French-administered part of Cameroon became independent as the Republic of Cameroun under President Ahmadou Ahidjo","In 1960, the French-administered part of Cameroon became independent as the Republic of Cameroun under President Ahmadou Ahidjo","In 1960, the French-administered part of Cameroon became independent as the Republic of Cameroun under President Ahmadou Ahidjo"
The southern part of British Cameroons federated with it in 1961 to form the Federal Republic of Cameroon,The southern part of British Cameroons federated with it in 1961 to form the Federal Republic of Cameroon,The southern part of British Cameroons federated with it in 1961 to form the Federal Republic of Cameroon
The country was renamed the United Republic of Cameroon in 1972 and the Republic of Cameroon in 1984,The country was renamed the United Republic of Cameroon in 1972 and the Republic of Cameroon in 1984,The country was renamed the United Republic of Cameroon in 1972 and the Republic of Cameroon in 1984
Cameroon experiences relatively high political and social stability,Cameroon experiences relatively high political and social stability,Cameroon experiences relatively high political and social stability
"Large numbers of Cameroonians live as subsistence farmers, however","Large numbers of Cameroonians live as subsistence farmers, however","Large numbers of Cameroonians live as subsistence farmers, however"
"Since 1982 Paul Biya has been President, governing with his Cameroon People's Democratic Movement party","Since 1982 Paul Biya has been President, governing with his Cameroon People's Democratic Movement party","Since 1982 Paul Biya has been President, governing with his Cameroon People's Democratic Movement party"
Politicians in the English-speaking regions have advocated for greater decentralisation and even complete separation or independence from Cameroon,Politicians in the English-speaking regions have advocated for greater decentralisation and even complete separation or independence from Cameroon,Politicians in the English-speaking regions have advocated for greater decentralisation and even complete separation or independence from Cameroon
"The Comoros , is a sovereign archipelago island nation in the Indian Ocean located at the northern end of the Mozambique Channel off the eastern coast of Africa between northeastern Mozambique and northwestern Madagascar","The Comoros , is a sovereign archipelago island nation in the Indian Ocean located at the northern end of the Mozambique Channel off the eastern coast of Africa between northeastern Mozambique and northwestern Madagascar","The Comoros , is a sovereign archipelago island nation in the Indian Ocean located at the northern end of the Mozambique Channel off the eastern coast of Africa between northeastern Mozambique and northwestern Madagascar"
Other countries near the Comoros are Tanzania to the northwest and the Seychelles to the northeast,Other countries near the Comoros are Tanzania to the northwest and the Seychelles to the northeast,Other countries near the Comoros are Tanzania to the northwest and the Seychelles to the northeast
"The Union of the Comoros has three official languages – Comorian, Arabic and French","The Union of the Comoros has three official languages – Comorian, Arabic and French","The Union of the Comoros has three official languages – Comorian, Arabic and French"
"At 1,660 km2 , excluding the contested island of Mayotte, the Comoros is the third-smallest African nation by area","At 1,660 km2 , excluding the contested island of Mayotte, the Comoros is the third-smallest African nation by area","At 1,660 km2 , excluding the contested island of Mayotte, the Comoros is the third-smallest African nation by area"
"In addition, the country has a claim on a fourth major island, southeastern-most Mayotte ","In addition, the country has a claim on a fourth major island, southeastern-most Mayotte ","In addition, the country has a claim on a fourth major island, southeastern-most Mayotte "
"Along with this constant political instability, the population of the Comoros lives with the worst income inequality of any nation, with a Gini coefficient over 60%, while also ranking in the worst quartile on the Human Development Index","Along with this constant political instability, the population of the Comoros lives with the worst income inequality of any nation, with a Gini coefficient over 60%, while also ranking in the worst quartile on the Human Development Index","Along with this constant political instability, the population of the Comoros lives with the worst income inequality of any nation, with a Gini coefficient over 60%, while also ranking in the worst quartile on the Human Development Index"
"The Comoros is a member state of the African Union, Francophonie, Organisation of Islamic Cooperation, Arab League and the Indian Ocean Commission","The Comoros is a member state of the African Union, Francophonie, Organisation of Islamic Cooperation, Arab League and the Indian Ocean Commission","The Comoros is a member state of the African Union, Francophonie, Organisation of Islamic Cooperation, Arab League and the Indian Ocean Commission"
"Colombia , is a sovereign state largely situated in the northwest of South America, with territories in Central America","Colombia , is a sovereign state largely situated in the northwest of South America, with territories in Central America","Colombia , is a sovereign state largely situated in the northwest of South America, with territories in Central America"
"Colombia shares a border to the northwest with Panama, to the east with Venezuela and Brazil and to the south with Ecuador and Peru","Colombia shares a border to the northwest with Panama, to the east with Venezuela and Brazil and to the south with Ecuador and Peru","Colombia shares a border to the northwest with Panama, to the east with Venezuela and Brazil and to the south with Ecuador and Peru"
"The territory of what is now Colombia was originally inhabited by indigenous peoples, with as most advanced the Muisca, Quimbaya and the Tairona","The territory of what is now Colombia was originally inhabited by indigenous peoples, with as most advanced the Muisca, Quimbaya and the Tairona","The territory of what is now Colombia was originally inhabited by indigenous peoples, with as most advanced the Muisca, Quimbaya and the Tairona"
"The Spanish set foot on Colombian soil for the first time in 1499 and in the first half of the 16th century initiated a period of conquest and colonization, ultimately creating the New Kingdom of Granada, with as capital Santafé de Bogotá","The Spanish set foot on Colombian soil for the first time in 1499 and in the first half of the 16th century initiated a period of conquest and colonization, ultimately creating the New Kingdom of Granada, with as capital Santafé de Bogotá","The Spanish set foot on Colombian soil for the first time in 1499 and in the first half of the 16th century initiated a period of conquest and colonization, ultimately creating the New Kingdom of Granada, with as capital Santafé de Bogotá"
"Independence from Spain was acquired in 1819, but by 1830 the ""Gran Colombia"" Federation was dissolved","Independence from Spain was acquired in 1819, but by 1830 the ""Gran Colombia"" Federation was dissolved","Independence from Spain was acquired in 1819, but by 1830 the ""Gran Colombia"" Federation was dissolved"
What is now Colombia and Panama emerged as the Republic of New Granada,What is now Colombia and Panama emerged as the Republic of New Granada,What is now Colombia and Panama emerged as the Republic of New Granada
"The new nation experimented with federalism as the Granadine Confederation , before the Republic of Colombia was finally declared in 1886","The new nation experimented with federalism as the Granadine Confederation , before the Republic of Colombia was finally declared in 1886","The new nation experimented with federalism as the Granadine Confederation , before the Republic of Colombia was finally declared in 1886"
"Colombia is one of the most ethnically and linguistically diverse countries in the world, and thereby possesses a rich cultural heritage","Colombia is one of the most ethnically and linguistically diverse countries in the world, and thereby possesses a rich cultural heritage","Colombia is one of the most ethnically and linguistically diverse countries in the world, and thereby possesses a rich cultural heritage"
"Colombian territory also encompasses Amazon rainforest, tropical grassland and both Caribbean and Pacific coastlines","Colombian territory also encompasses Amazon rainforest, tropical grassland and both Caribbean and Pacific coastlines","Colombian territory also encompasses Amazon rainforest, tropical grassland and both Caribbean and Pacific coastlines"
"Colombia is a middle power and a regional actor with the fourth-largest economy in Latin America, is part of the CIVETS group of six leading emerging markets and is a member of the UN, the WTO, the OAS, the Pacific Alliance, and other international organizations","Colombia is a middle power and a regional actor with the fourth-largest economy in Latin America, is part of the CIVETS group of six leading emerging markets and is a member of the UN, the WTO, the OAS, the Pacific Alliance, and other international organizations","Colombia is a middle power and a regional actor with the fourth-largest economy in Latin America, is part of the CIVETS group of six leading emerging markets and is a member of the UN, the WTO, the OAS, the Pacific Alliance, and other international organizations"
Colombia has a diversified economy with macroeconomic stability and favorable growth prospects in the long run,Colombia has a diversified economy with macroeconomic stability and favorable growth prospects in the long run,Colombia has a diversified economy with macroeconomic stability and favorable growth prospects in the long run
"The Northern Mariana Islands, officially the Commonwealth of the Northern Mariana Islands , is an insular area and commonwealth of the United States consisting of 15 islands in the northwestern Pacific Ocean","The Northern Mariana Islands, officially the Commonwealth of the Northern Mariana Islands , is an insular area and commonwealth of the United States consisting of 15 islands in the northwestern Pacific Ocean","The Northern Mariana Islands, officially the Commonwealth of the Northern Mariana Islands , is an insular area and commonwealth of the United States consisting of 15 islands in the northwestern Pacific Ocean"
"The Coral Sea Islands Territory is an external territory of Australia which comprises a group of small and mostly uninhabited tropical islands and reefs in the Coral Sea, northeast of Queensland, Australia","The Coral Sea Islands Territory is an external territory of Australia which comprises a group of small and mostly uninhabited tropical islands and reefs in the Coral Sea, northeast of Queensland, Australia","The Coral Sea Islands Territory is an external territory of Australia which comprises a group of small and mostly uninhabited tropical islands and reefs in the Coral Sea, northeast of Queensland, Australia"
"Costa Rica , is a country in Central America, bordered by Nicaragua to the north, Panama to the southeast, the Pacific Ocean to the west, the Caribbean Sea to the east, and Ecuador to the south of Cocos Island","Costa Rica , is a country in Central America, bordered by Nicaragua to the north, Panama to the southeast, the Pacific Ocean to the west, the Caribbean Sea to the east, and Ecuador to the south of Cocos Island","Costa Rica , is a country in Central America, bordered by Nicaragua to the north, Panama to the southeast, the Pacific Ocean to the west, the Caribbean Sea to the east, and Ecuador to the south of Cocos Island"
"Costa Rica has been known for its stable democracy in a region that has had some instability and for its highly educated workforce, most of whom speak English","Costa Rica has been known for its stable democracy in a region that has had some instability and for its highly educated workforce, most of whom speak English","Costa Rica has been known for its stable democracy in a region that has had some instability and for its highly educated workforce, most of whom speak English"
Many foreign companies where they benefit from investment and tax incentives,Many foreign companies where they benefit from investment and tax incentives,Many foreign companies where they benefit from investment and tax incentives
"In spite of impressive growth in the Gross domestic product , low inflation, moderate interest rates and an acceptable unemployment level, Costa Rica in 2017 was facing a liquidity crisis due to a growing debt and budget deficit","In spite of impressive growth in the Gross domestic product , low inflation, moderate interest rates and an acceptable unemployment level, Costa Rica in 2017 was facing a liquidity crisis due to a growing debt and budget deficit","In spite of impressive growth in the Gross domestic product , low inflation, moderate interest rates and an acceptable unemployment level, Costa Rica in 2017 was facing a liquidity crisis due to a growing debt and budget deficit"
Costa Rica was sparsely inhabited by indigenous people before coming under Spanish rule in the 16th century,Costa Rica was sparsely inhabited by indigenous people before coming under Spanish rule in the 16th century,Costa Rica was sparsely inhabited by indigenous people before coming under Spanish rule in the 16th century
"Since then, Costa Rica has remained among the most stable, prosperous, and progressive nations in Latin America","Since then, Costa Rica has remained among the most stable, prosperous, and progressive nations in Latin America","Since then, Costa Rica has remained among the most stable, prosperous, and progressive nations in Latin America"
Costa Rica is an observing member of the Organisation internationale de la Francophonie ,Costa Rica is an observing member of the Organisation internationale de la Francophonie ,Costa Rica is an observing member of the Organisation internationale de la Francophonie 
"Costa Rica also has progressive environmental policies, being the only country to meet all five UNDP criteria established to measure environmental sustainability","Costa Rica also has progressive environmental policies, being the only country to meet all five UNDP criteria established to measure environmental sustainability","Costa Rica also has progressive environmental policies, being the only country to meet all five UNDP criteria established to measure environmental sustainability"
Costa Rica officially plans to become a carbon-neutral country by 2021,Costa Rica officially plans to become a carbon-neutral country by 2021,Costa Rica officially plans to become a carbon-neutral country by 2021
The Central African Republic is a landlocked country in Central Africa,The Central African Republic is a landlocked country in Central Africa,The Central African Republic is a landlocked country in Central Africa
"What is today the Central African Republic has been inhabited for millennia; however, the country's current borders were established by France, which ruled the country as a colony starting in the late 19th century","What is today the Central African Republic has been inhabited for millennia; however, the country's current borders were established by France, which ruled the country as a colony starting in the late 19th century","What is today the Central African Republic has been inhabited for millennia; however, the country's current borders were established by France, which ruled the country as a colony starting in the late 19th century"
"After gaining independence from France in 1960, the Central African Republic was ruled by a series of autocratic leaders, including an abortive attempt at a monarchy ; by the 1990s, calls for democracy led to the first multi-party democratic elections in 1993","After gaining independence from France in 1960, the Central African Republic was ruled by a series of autocratic leaders, including an abortive attempt at a monarchy ; by the 1990s, calls for democracy led to the first multi-party democratic elections in 1993","After gaining independence from France in 1960, the Central African Republic was ruled by a series of autocratic leaders, including an abortive attempt at a monarchy ; by the 1990s, calls for democracy led to the first multi-party democratic elections in 1993"
"The Central African Republic Bush War began in 2004 and, despite a peace treaty in 2007 and another in 2011, fighting broke out between various factions in December 2012, leading to ethnic and religious cleansing of the Muslim minority and massive population displacement in 2013 and 2014","The Central African Republic Bush War began in 2004 and, despite a peace treaty in 2007 and another in 2011, fighting broke out between various factions in December 2012, leading to ethnic and religious cleansing of the Muslim minority and massive population displacement in 2013 and 2014","The Central African Republic Bush War began in 2004 and, despite a peace treaty in 2007 and another in 2011, fighting broke out between various factions in December 2012, leading to ethnic and religious cleansing of the Muslim minority and massive population displacement in 2013 and 2014"
"Despite its significant mineral deposits and other resources, such as uranium reserves, crude oil, gold, diamonds, cobalt, lumber, and hydropower, as well as significant quantities of arable land, the Central African Republic is among the ten poorest countries in the world","Despite its significant mineral deposits and other resources, such as uranium reserves, crude oil, gold, diamonds, cobalt, lumber, and hydropower, as well as significant quantities of arable land, the Central African Republic is among the ten poorest countries in the world","Despite its significant mineral deposits and other resources, such as uranium reserves, crude oil, gold, diamonds, cobalt, lumber, and hydropower, as well as significant quantities of arable land, the Central African Republic is among the ten poorest countries in the world"
"Cuba , is a country comprising the island of Cuba as well as Isla de la Juventud and several minor archipelagos","Cuba , is a country comprising the island of Cuba as well as Isla de la Juventud and several minor archipelagos","Cuba , is a country comprising the island of Cuba as well as Isla de la Juventud and several minor archipelagos"
"Cuba is located in the northern Caribbean where the Caribbean Sea, the Gulf of Mexico, and the Atlantic Ocean meet","Cuba is located in the northern Caribbean where the Caribbean Sea, the Gulf of Mexico, and the Atlantic Ocean meet","Cuba is located in the northern Caribbean where the Caribbean Sea, the Gulf of Mexico, and the Atlantic Ocean meet"
Havana is the largest city and capital; other major cities include Santiago de Cuba and Camagüey,Havana is the largest city and capital; other major cities include Santiago de Cuba and Camagüey,Havana is the largest city and capital; other major cities include Santiago de Cuba and Camagüey
"Cuba is the largest island in the Caribbean, with an area of 109,884 square kilometres , and the second-most populous after Hispaniola, with over 11 million inhabitants","Cuba is the largest island in the Caribbean, with an area of 109,884 square kilometres , and the second-most populous after Hispaniola, with over 11 million inhabitants","Cuba is the largest island in the Caribbean, with an area of 109,884 square kilometres , and the second-most populous after Hispaniola, with over 11 million inhabitants"
The territory of Cuba was inhabited by the Ciboney tribes in the 4th millennium BC,The territory of Cuba was inhabited by the Ciboney tribes in the 4th millennium BC,The territory of Cuba was inhabited by the Ciboney tribes in the 4th millennium BC
"Until the 15th century, it was inhabited by Amerindian tribes which became a colony of Spain until the Spanish–American War of 1898, when Cuba gained nominal independence as a de facto United States protectorate in 1902","Until the 15th century, it was inhabited by Amerindian tribes which became a colony of Spain until the Spanish–American War of 1898, when Cuba gained nominal independence as a de facto United States protectorate in 1902","Until the 15th century, it was inhabited by Amerindian tribes which became a colony of Spain until the Spanish–American War of 1898, when Cuba gained nominal independence as a de facto United States protectorate in 1902"
"As a fragile republic, Cuba attempted to strengthen its democratic system, but mounting political radicalization and social strife culminated in the dictatorship of Fulgencio Batista in 1952","As a fragile republic, Cuba attempted to strengthen its democratic system, but mounting political radicalization and social strife culminated in the dictatorship of Fulgencio Batista in 1952","As a fragile republic, Cuba attempted to strengthen its democratic system, but mounting political radicalization and social strife culminated in the dictatorship of Fulgencio Batista in 1952"
"Since 1965, the state has been governed by the Communist Party of Cuba","Since 1965, the state has been governed by the Communist Party of Cuba","Since 1965, the state has been governed by the Communist Party of Cuba"
"A point of contention during the Cold War between the Soviet Union and the United States, a nuclear war nearly broke out during the Cuban Missile Crisis of 1962","A point of contention during the Cold War between the Soviet Union and the United States, a nuclear war nearly broke out during the Cuban Missile Crisis of 1962","A point of contention during the Cold War between the Soviet Union and the United States, a nuclear war nearly broke out during the Cuban Missile Crisis of 1962"
"Cuba is one of the few remaining Marxist–Leninist socialist states, where the role of the vanguard Communist Party is enshrined in the Constitution","Cuba is one of the few remaining Marxist–Leninist socialist states, where the role of the vanguard Communist Party is enshrined in the Constitution","Cuba is one of the few remaining Marxist–Leninist socialist states, where the role of the vanguard Communist Party is enshrined in the Constitution"
